Model,S&P 500 Test RMSE,S&P 500 Test MAE,Bitcoin Test RMSE,Bitcoin Test MAE,EURUSD Test RMSE,EURUSD Test MAE
GARCH,0.01339411,0.01140869,0.03090664,0.02972963,0.00439198,0.00436057
GARCH-LSTM,0.01304312,0.01100876,0.03075787,0.02978281,0.00285072,0.00285027
Improvement (%),2.62%,3.51%,0.48%,-0.18%,35.09%,34.64%
