ARC,ASD,MD,IR,IR*,SR,Model,Num_Trades
-0.07151688326448835,0.23680906259528728,0.17398713119710996,-0.3020023071782203,-0.12413713358835873,-0.49493160911765943,ARIMA,973
-0.18290164324969393,0.25036567433558155,0.8747022705385192,-0.7305380169828667,-0.15275666734039312,-0.8657724798195878,LSTM,831
-0.16946188638836046,0.25039469076804727,0.8609385661615345,-0.6767790717469374,-0.1332130568592522,-0.7947772195692401,SVM,833
